m,n,k	orig	fsm	hw	fg
131072,1,1	1	1.3	1.3	1.6
131072,1,4	1	1.2	1.2	1.5
131072,1,32	1	1.1	1	0.8
131072,4,4	1	1	1	1.3
1,131072,1	1	1.2	1.2	4.6
1,131072,4	1	1	1	3
1,131072,32	1	0.8	0.7	1.4
4,131072,4	1	0.6	0.7	1.3
