m,n,k	orig	fsm	hw	fg
4096,1,1	1	1.5	1.6	1.9
4096,1,4	1	1.4	1.6	1.9
4096,1,32	1	1.3	1.2	0.9
4096,4,4	1	1.4	1.5	1.9
1,4096,1	1	1.3	1.5	5.9
1,4096,4	1	1	1.1	5.5
1,4096,32	1	0.6	0.6	2.2
4,4096,4	1	0.8	0.9	2.8
