hwconfig	swconfig	m	n	k	bias	mn-ratio	ops	bytes	op/byte	cycles	op/cycle
hw_g2_dse6	hw_tiler	64	16	1	yes	4.000	1024	4176	0.245	986	1.04
hw_g2_dse6	hw_tiler	64	16	4	yes	4.000	4096	4416	0.928	1050	3.90
hw_g2_dse6	hw_tiler	64	16	16	yes	4.000	16384	5376	3.048	1123	14.59
hw_g2_dse6	hw_tiler	64	16	64	yes	4.000	65536	9216	7.111	1654	39.62
hw_g2_dse6	hw_tiler	64	16	256	yes	4.000	262144	24576	10.667	3171	82.67
hw_g2_dse6	hw_tiler	256	4	1	yes	64.000	1024	4356	0.235	1481	0.69
hw_g2_dse6	hw_tiler	256	4	4	yes	64.000	4096	5136	0.798	1528	2.68
hw_g2_dse6	hw_tiler	256	4	16	yes	64.000	16384	8256	1.984	1716	9.55
hw_g2_dse6	hw_tiler	256	4	64	yes	64.000	65536	20736	3.160	3094	21.18
hw_g2_dse6	hw_tiler	256	4	256	yes	64.000	262144	70656	3.710	6865	38.19
hw_g2_dse6	hw_tiler	1024	1	1	yes	1024.000	1024	5121	0.200	4358	0.23
hw_g2_dse6	hw_tiler	1024	1	4	yes	1024.000	4096	8196	0.500	4594	0.89
hw_g2_dse6	hw_tiler	1024	1	16	yes	1024.000	16384	20496	0.799	5043	3.25
hw_g2_dse6	hw_tiler	1024	1	64	yes	1024.000	65536	69696	0.940	8620	7.60
hw_g2_dse6	hw_tiler	1024	1	256	yes	1024.000	262144	266496	0.984	26671	9.83
hw_g2_dse7	hw_tiler	1	1024	1	yes	0.001	1024	5121	0.200	7069	0.14
hw_g2_dse7	hw_tiler	1	1024	4	yes	0.001	4096	8196	0.500	8909	0.46
hw_g2_dse7	hw_tiler	1	1024	16	yes	0.001	16384	20496	0.799	11854	1.38
hw_g2_dse7	hw_tiler	1	1024	64	yes	0.001	65536	69696	0.940	26562	2.47
hw_g2_dse7	hw_tiler	1	1024	256	yes	0.001	262144	266496	0.984	86646	3.03
hw_g2_dse7	hw_tiler	4	256	1	yes	0.016	1024	4356	0.235	2452	0.42
hw_g2_dse7	hw_tiler	4	256	4	yes	0.016	4096	5136	0.798	2600	1.58
hw_g2_dse7	hw_tiler	4	256	16	yes	0.016	16384	8256	1.984	3572	4.59
hw_g2_dse7	hw_tiler	4	256	64	yes	0.016	65536	20736	3.160	7035	9.32
hw_g2_dse7	hw_tiler	4	256	256	yes	0.016	262144	70656	3.710	21138	12.40
hw_g2_dse7	hw_tiler	16	64	1	yes	0.250	1024	4176	0.245	1352	0.76
hw_g2_dse7	hw_tiler	16	64	4	yes	0.250	4096	4416	0.928	1491	2.75
hw_g2_dse7	hw_tiler	16	64	16	yes	0.250	16384	5376	3.048	1494	10.97
hw_g2_dse7	hw_tiler	16	64	64	yes	0.250	65536	9216	7.111	2607	25.14
hw_g2_dse7	hw_tiler	16	64	256	yes	0.250	262144	24576	10.667	7459	35.14
hw_g2_dse7	hw_tiler	32	32	1	yes	1.000	1024	4160	0.246	950	1.08
hw_g2_dse7	hw_tiler	32	32	4	yes	1.000	4096	4352	0.941	979	4.18
hw_g2_dse7	hw_tiler	32	32	16	yes	1.000	16384	5120	3.200	1106	14.81
hw_g2_dse7	hw_tiler	32	32	64	yes	1.000	65536	8192	8.000	1758	37.28
hw_g2_dse7	hw_tiler	32	32	256	yes	1.000	262144	20480	12.800	4074	64.35
hw_g2_dse7	hw_tiler	64	16	1	yes	4.000	1024	4176	0.245	921	1.11
hw_g2_dse7	hw_tiler	64	16	4	yes	4.000	4096	4416	0.928	1035	3.96
hw_g2_dse7	hw_tiler	64	16	16	yes	4.000	16384	5376	3.048	1032	15.88
hw_g2_dse7	hw_tiler	64	16	64	yes	4.000	65536	9216	7.111	1821	35.99
hw_g2_dse7	hw_tiler	64	16	256	yes	4.000	262144	24576	10.667	4044	64.82
hw_g2_dse7	hw_tiler	256	4	1	yes	64.000	1024	4356	0.235	1449	0.71
hw_g2_dse7	hw_tiler	256	4	4	yes	64.000	4096	5136	0.798	1507	2.72
hw_g2_dse7	hw_tiler	256	4	16	yes	64.000	16384	8256	1.984	1780	9.20
hw_g2_dse7	hw_tiler	256	4	64	yes	64.000	65536	20736	3.160	3772	17.37
hw_g2_dse7	hw_tiler	256	4	256	yes	64.000	262144	70656	3.710	9688	27.06
hw_g2_dse7	hw_tiler	1024	1	1	yes	1024.000	1024	5121	0.200	4399	0.23
hw_g2_dse7	hw_tiler	1024	1	4	yes	1024.000	4096	8196	0.500	4846	0.85
hw_g2_dse7	hw_tiler	1024	1	16	yes	1024.000	16384	20496	0.799	5124	3.20
hw_g2_dse7	hw_tiler	1024	1	64	yes	1024.000	65536	69696	0.940	10290	6.37
hw_g2_dse7	hw_tiler	1024	1	256	yes	1024.000	262144	266496	0.984	37074	7.07
hw_g2_dse8	hw_tiler	1	1024	1	yes	0.001	1024	5121	0.200	6520	0.16
hw_g2_dse8	hw_tiler	1	1024	4	yes	0.001	4096	8196	0.500	7234	0.57
hw_g2_dse8	hw_tiler	1	1024	16	yes	0.001	16384	20496	0.799	8982	1.82
hw_g2_dse8	hw_tiler	1	1024	64	yes	0.001	65536	69696	0.940	15369	4.26
hw_g2_dse8	hw_tiler	1	1024	256	yes	0.001	262144	266496	0.984	43855	5.98
hw_g2_dse8	hw_tiler	4	256	1	yes	0.016	1024	4356	0.235	2155	0.48
hw_g2_dse8	hw_tiler	4	256	4	yes	0.016	4096	5136	0.798	2289	1.79
hw_g2_dse8	hw_tiler	4	256	16	yes	0.016	16384	8256	1.984	2963	5.53
